ALDER;KØN;TID;INDHOLD
11;K;2020;33309
11;K;2021;32305
11;K;2022;32674
11;K;2023;30749
11;K;2024;29798
11;K;2025;29006
11;K;2026;29198
11;K;2027;29730
11;K;2028;31126
11;K;2029;31076
11;K;2030;32286
11;K;2031;32780
11;K;2032;33273
11;K;2033;33795
11;K;2034;34368
11;K;2035;34975
11;K;2036;35513
11;K;2037;35880
11;K;2038;36082
11;K;2039;36163
11;K;2040;36164
11;K;2041;36112
11;K;2042;36025
11;K;2043;35915
11;K;2044;35792
11;K;2045;35655
11;K;2046;35505
11;K;2047;35339
11;K;2048;35151
11;K;2049;34943
11;K;2050;34719
11;K;2051;34486
11;K;2052;34260
11;K;2053;34061
11;K;2054;33911
11;K;2055;33823
11;K;2056;33809
11;K;2057;33874
11;K;2058;34019
11;K;2059;34236
11;K;2060;34517
12;M;2019;35129
12;M;2020;34742
12;M;2021;35589
12;M;2022;34275
12;M;2023;34419
12;M;2024;31945
12;M;2025;31729
12;M;2026;30378
12;M;2027;30895
12;M;2028;31304
12;M;2029;33135
12;M;2030;32640
12;M;2031;34007
12;M;2032;34531
12;M;2033;35055
12;M;2034;35607
12;M;2035;36215
12;M;2036;36858
12;M;2037;37426
12;M;2038;37816
12;M;2039;38029
12;M;2040;38115
12;M;2041;38119
12;M;2042;38063
12;M;2043;37971
12;M;2044;37856
12;M;2045;37726
12;M;2046;37583
12;M;2047;37425
12;M;2048;37250
12;M;2049;37053
12;M;2050;36833
12;M;2051;36596
12;M;2052;36352
12;M;2053;36115
12;M;2054;35906
12;M;2055;35747
12;M;2056;35655
12;M;2057;35640
12;M;2058;35710
12;M;2059;35862
12;M;2060;36091
12;K;2019;33224
12;K;2020;33007
12;K;2021;33356
12;K;2022;32342
12;K;2023;32706
12;K;2024;30777
12;K;2025;29825
12;K;2026;29035
12;K;2027;29225
12;K;2028;29765
12;K;2029;31164
12;K;2030;31115
12;K;2031;32321
12;K;2032;32816
12;K;2033;33312
12;K;2034;33833
12;K;2035;34407
12;K;2036;35015
12;K;2037;35553
12;K;2038;35922
12;K;2039;36123
12;K;2040;36205
12;K;2041;36206
12;K;2042;36153
12;K;2043;36065
12;K;2044;35956
12;K;2045;35832
12;K;2046;35696
12;K;2047;35546
12;K;2048;35380
12;K;2049;35192
12;K;2050;34984
12;K;2051;34760
12;K;2052;34527
12;K;2053;34302
12;K;2054;34104
12;K;2055;33952
12;K;2056;33863
12;K;2057;33850
12;K;2058;33916
12;K;2059;34060
12;K;2060;34278
13;M;2019;34350
13;M;2020;35212
13;M;2021;34805
13;M;2022;35637
13;M;2023;34317
13;M;2024;34457
13;M;2025;31975
13;M;2026;31757
13;M;2027;30406
13;M;2028;30925
13;M;2029;31340
13;M;2030;33175
13;M;2031;32682
13;M;2032;34050
13;M;2033;34577
13;M;2034;35101
13;M;2035;35654
13;M;2036;36262
13;M;2037;36904
13;M;2038;37473
13;M;2039;37863
13;M;2040;38078
13;M;2041;38164
13;M;2042;38165
13;M;2043;38111
13;M;2044;38020
13;M;2045;37904
13;M;2046;37775
13;M;2047;37631
13;M;2048;37474
13;M;2049;37297
13;M;2050;37101
13;M;2051;36882
13;M;2052;36646
13;M;2053;36400
13;M;2054;36163
13;M;2055;35954
13;M;2056;35794
13;M;2057;35702
13;M;2058;35688
13;M;2059;35757
13;M;2060;35909
13;K;2019;33035
13;K;2020;33316
13;K;2021;33085
13;K;2022;33416
13;K;2023;32400
13;K;2024;32757
13;K;2025;30823
13;K;2026;29871
13;K;2027;29079
13;K;2028;29270
13;K;2029;29814
13;K;2030;31218
13;K;2031;31170
13;K;2032;32379
13;K;2033;32876
13;K;2034;33371
13;K;2035;33894
13;K;2036;34468
13;K;2037;35077
13;K;2038;35615
13;K;2039;35983
13;K;2040;36186
13;K;2041;36267
13;K;2042;36268
13;K;2043;36216
13;K;2044;36127
13;K;2045;36018
13;K;2046;35894
13;K;2047;35758
13;K;2048;35608
13;K;2049;35441
13;K;2050;35254
13;K;2051;35045
13;K;2052;34820
13;K;2053;34588
13;K;2054;34362
13;K;2055;34164
13;K;2056;34012
13;K;2057;33923
13;K;2058;33910
13;K;2059;33976
13;K;2060;34120
14;M;2019;34526
14;M;2020;34471
14;M;2021;35318
14;M;2022;34901
14;M;2023;35728
14;M;2024;34403
14;M;2025;34540
14;M;2026;32058
14;M;2027;31837
14;M;2028;30488
14;M;2029;31011
14;M;2030;31433
14;M;2031;33272
14;M;2032;32776
14;M;2033;34144
14;M;2034;34672
14;M;2035;35197
14;M;2036;35752
14;M;2037;36361
14;M;2038;37007
14;M;2039;37575
14;M;2040;37966
14;M;2041;38181
14;M;2042;38268
14;M;2043;38270
14;M;2044;38215
14;M;2045;38123
14;M;2046;38009
14;M;2047;37878
14;M;2048;37735
14;M;2049;37577
14;M;2050;37400
14;M;2051;37204
14;M;2052;36984
14;M;2053;36748
14;M;2054;36502
14;M;2055;36265
14;M;2056;36056
14;M;2057;35897
14;M;2058;35804
14;M;2059;35790
14;M;2060;35860
14;K;2019;32991
14;K;2020;33131
14;K;2021;33396
14;K;2022;33154
14;K;2023;33475
14;K;2024;32450
14;K;2025;32807
14;K;2026;30868
14;K;2027;29914
14;K;2028;29120
14;K;2029;29313
14;K;2030;29863
14;K;2031;31269
14;K;2032;31223
14;K;2033;32432
14;K;2034;32931
14;K;2035;33426
14;K;2036;33951
14;K;2037;34527
14;K;2038;35136
14;K;2039;35673
14;K;2040;36043
14;K;2041;36246
14;K;2042;36327
14;K;2043;36328
14;K;2044;36277
14;K;2045;36188
14;K;2046;36078
14;K;2047;35954
14;K;2048;35818
14;K;2049;35668
14;K;2050;35501
14;K;2051;35314
14;K;2052;35105
14;K;2053;34880
14;K;2054;34647
14;K;2055;34421
14;K;2056;34223
14;K;2057;34070
14;K;2058;33982
14;K;2059;33969
